DATAFILE::_0x7907969497EA92F5, 378
PED::IS_PED_IN_COMBAT, 378
NETSHOPPING::_CASHINVENTORY_TRANSACTION_START, 376
ANIMSCENE::_0x23E33CB9F4A3F547, 374
CAM::SET_CAM_ACTIVE, 370
ANIMSCENE::SET_ANIM_SCENE_ORIGIN, 369
CAM::RENDER_SCRIPT_CAMS, 367
DATABINDING::_DATABINDING_CLEAR_BINDING_ARRAY, 366
ENTITY::SET_ENTITY_COORDS, 365
EVENT::_0x1A5C5D350068A673, 364
STATS::STAT_ID_SET_INT, 363
NETWORK::NETWORK_GET_PLAYER_INDEX_FROM_PED, 362
PED::_0xB655DB7582AEC805, 360
MAP::_0x6786D7AFAC3162B3, 359
OBJECT::DOOR_SYSTEM_GET_DOOR_STATE, 359
WEAPON::_GET_WEAPON_CLIP_SIZE, 359
MAP::_0x563FCB6620523917, 358
WEAPON::_0xCB690F680A3EA971, 356
SCRIPTS::_NET_RPC_GUID_TO_STRING, 355
VOLUME::_GET_VOLUME_COORDS, 350
WEAPON::_0x705BE297EEBDB95D, 350
TXD::REQUEST_STREAMED_TEXTURE_DICT, 348
BUILTIN::VMAG, 346
NETWORK::_0x236905C700FDB54D, 346
HUD::_TEXT_DATABASE_REQUEST, 345
STATS::_0xF21A5D66874FCEDD, 344
TXD::SET_STREAMED_TEXTURE_DICT_AS_NO_LONGER_NEEDED, 344
INVENTORY::_0x886DFD3E185C8A89, 343
WEAPON::_IS_WEAPON_LASSO, 343
NETWORK::_NETWORK_IS_SCRIPT_ACTIVE_HASH, 338
STATS::STAT_ID_GET_INT, 337
_NAMESPACE77::_0x00A15B94CBA4F76F, 335
ITEMDATABASE::_ITEM_DATABASE_GET_SHOP_LAYOUT_PAGE_ITEM_KEY, 335
ENTITY::IS_ENTITY_TOUCHING_ENTITY, 332
ITEMDATABASE::_ITEM_DATABASE_GET_SHOP_LAYOUT_MENU_PAGE_KEY, 332
ENTITY::HAS_ENTITY_BEEN_DAMAGED_BY_ENTITY, 327
PLAYER::_0x7146CF430965927C, 327
WEAPON::_IS_WEAPON_TWO_HANDED, 327
DATAFILE::_DATAFILE_GET_NUM_CHILDREN, 325
DATABINDING::_DATABINDING_READ_DATA_INT_FROM_PARENT_BY_HASH, 324
DECORATOR::DECOR_GET_INT, 322
INVENTORY::_0x033EE4B89F3AC545, 322
MAP::_0xE38450DBCBC70E3D, 321
ENTITY::DOES_ENTITY_BELONG_TO_THIS_SCRIPT, 319
CAM::IS_SCREEN_FADING_OUT, 318
UISTATEMACHINE::_UIFLOWBLOCK_IS_LOADED, 318
MISC::_GET_ENTITY_FROM_ITEM, 317
HUD::_UIPROMPT_SET_VISIBLE, 316
STREAMING::SET_MODEL_AS_NO_LONGER_NEEDED, 315
PLAYER::_SET_DEADEYE_ABILITY_LEVEL, 314
HUD::_UIPROMPT_SET_TEXT, 313
PED::GET_PED_RELATIONSHIP_GROUP_HASH, 313
DECORATOR::DECOR_SET_INT, 312
OBJECT::_GET_OBJECT_OFFSET_FROM_COORDS, 312
DATAFILE::_DATAFILE_GET_NUM_NODES, 311
STATS::CHAL_ADD_GOAL_PROGRESS_INT, 308
OBJECT::CREATE_OBJECT, 307
DATABINDING::_DATABINDING_ADD_UI_ITEM_LIST, 306
INVENTORY::_0x42A2F33A1942E865, 305
PED::_0xA0BC8FAED8CFEB3C, 305
CAM::DO_SCREEN_FADE_IN, 304
WEAPON::_IS_WEAPON_SNIPER, 303
DATABINDING::_DATABINDING_READ_DATA_INT, 301
NETWORK::NET_TO_OBJ, 301
ENTITY::DELETE_ENTITY, 300
TXD::HAS_STREAMED_TEXTURE_DICT_LOADED, 300
NETSHOPPING::_CASHINVENTORY_TRANSACTION_FIRE_AND_FORGET_ITEM, 299
NETWORK::_0xDD73C9838CE7181D, 298
SCRIPTS::_0xDE544B7EC0C187CC, 297
UIFEED::_0xDD1232B332CBB9E7, 294
ENTITY::IS_ENTITY_VISIBLE, 293
VOLUME::_0x748C5F51A18CB8F0, 292
NETSHOPPING::_CASHINVENTORY_TRANSACTION_GET_BASKET_IS_VALID, 291
FLOCK::SET_ANIMAL_TUNING_FLOAT_PARAM, 290
PED::_SET_PED_BODY_COMPONENT, 289
UIFEED::_0x59FA676177DBE4C9, 288
AUDIO::_0x531A78D6BF27014B, 287
TASK::_GET_SCENARIO_POINT_COORDS, 286
NETWORK::NETWORK_GET_MAX_NUM_PARTICIPANTS, 285
ANIMSCENE::_SET_ANIM_SCENE_PLAYBACK_LIST_BOOL, 284
DATABINDING::_DATABINDING_READ_DATA_BOOL, 283
ITEMDATABASE::_ITEM_DATABASE_GET_HAS_SLOT_INFO, 283
VOLUME::_CREATE_VOLUME_CYLINDER_WITH_CUSTOM_NAME, 283
HUD::_UIPROMPT_SET_CONTROL_ACTION, 281
ENTITY::GET_OBJECT_INDEX_FROM_ENTITY_INDEX, 280
ITEMDATABASE::_ITEM_DATABASE_FILLOUT_TAG_DATA, 280
ITEMDATABASE::_ITEM_DATABASE_GET_SHOP_LAYOUT_MENU_INFO_BY_INDEX, 280
POPULATION::_0x74C2B3DC0B294102, 280
POPULATION::_0xB56D41A694E42E86, 280
WEAPON::_GIVE_WEAPON_TO_PED_2, 279
ITEMDATABASE::_ITEM_DATABASE_IS_KEY_VALID, 278
NETWORK::NETWORK_GET_THIS_SCRIPT_IS_NETWORK_SCRIPT, 277
PED::GET_PED_BONE_COORDS, 277
UNLOCK::_UNLOCK_IS_UNLOCK_FLAG_SET, 275
ITEMDATABASE::_ITEM_DATABASE_GET_FITS_SLOT_COUNT, 274
MISC::_CREATE_COLOR_STRING, 274
NETWORK::_NETWORK_TRY_ACCESS_TUNABLE_BOOL, 274
NETWORK::_NETWORK_TRY_ACCESS_TUNABLE_FLOAT, 274
PED::_SET_PED_TRAIL_EFFECT, 274
PED::SET_PED_RELATIONSHIP_GROUP_HASH, 274
PLAYER::_0xCE285A4413B00B7F, 274
PLAYER::_0xDFC85C5199045026, 274
DATABINDING::_DATABINDING_ADD_DATA_HASH_BY_HASH, 273
ATTRIBUTE::_0x3FC4C027FD0936F4, 272
ATTRIBUTE::_0xFB6E111908502871, 272
PLAYER::_0x0E9057A9DA78D0F8, 272
PLAYER::_0x131E294EF60160DF, 272
PLAYER::_0x5F8E0303C229C84B, 272
PLAYER::_0x6FA957D1B55941C1, 272
PLAYER::_0xE910932F4B30BE23, 272
PLAYER::_SET_PLAYER_CAN_MERCY_KILL, 272
EVENT::IS_SHOCKING_EVENT_IN_SPHERE, 271
INTERIOR::GET_INTERIOR_AT_COORDS, 270
MISC::NETWORK_SET_SCRIPT_IS_SAFE_FOR_NETWORK_GAME, 270
TASK::_0xEC7E480FF8BD0BED, 269
AUDIO::_0xD9130842D7226045, 268
ITEMDATABASE::_ITEM_DATABASE_GET_ITEM_TAG_TYPE, 268
MISC::SET_THIS_SCRIPT_CAN_BE_PAUSED, 267
NETWORK::NET_TO_ENT, 267
ENTITY::_SET_ENTITY_HEALTH, 266
PLAYER::_0x5A498FCA232F71E1, 266
VOLUME::_0xF6A8A652A6B186CD, 266
INVENTORY::_0x245D07651B1D183B, 265
ITEMDATABASE::_ITEM_DATABASE_FILLOUT_MODIFIER, 265
ITEMDATABASE::_ITEM_DATABASE_GET_MODIFIED_PRICE, 265
ITEMDATABASE::_ITEM_DATABASE_GET_NUMBER_OF_MODIFIED_PRICES, 265
ITEMDATABASE::_ITEM_DATABASE_GET_NUMBER_OF_MODIFIERS, 265
GRAPHICS::_0x9CF1836C03FB67A2, 263
STREAMING::_IS_IMAP_ACTIVE, 263
ENTITY::_SET_ENTITY_COORDS_AND_HEADING, 262
ITEMDATABASE::_0x8750F69A720C2E41, 260
MAP::SET_BLIP_NAME_FROM_TEXT_FILE, 260
ENTITY::SET_ENTITY_COLLISION, 259
ITEMSET::GET_ITEMSET_SIZE, 259
PED::GET_VEHICLE_PED_IS_IN, 259
DATAFILE::_DATAFILE_GET_BOOL, 258
ENTITY::_0x9587913B9E772D29, 258
PED::_0x5463C962BC7777C3, 257
UIAPPS::_IS_APP_ACTIVE_BY_HASH, 257
PLAYER::_0xDF66A37936D5F3D9, 254
UISTATEMACHINE::_UISTATEMACHINE_EXISTS, 254
PED::_GET_RIDER_OF_MOUNT, 253
ANIMSCENE::_0xDF7B5144E25CD3FE, 252
HUD::_HIDE_HUD_COMPONENT, 252
ENTITY::SET_ENTITY_INVINCIBLE, 251
DECORATOR::DECOR_GET_BOOL, 248
ENTITY::GET_ENTITY_ROTATION, 247
VOLUME::_CREATE_VOLUME_AGGREGATE_WITH_CUSTOM_NAME, 247
TASK::CLEAR_PED_TASKS_IMMEDIATELY, 246
PLAYER::HAS_FORCE_CLEANUP_OCCURRED, 245
UIFEED::_0xC17F69E1418CD11F, 245
PLAYER::_IS_DEADEYE_ABILITY_LOCKED, 244
OBJECT::DOOR_SYSTEM_SET_DOOR_STATE, 243
HUD::_UIPROMPT_SET_GROUP, 242
PLAYER::_0x3EE1F7A8C32F24E1, 242
CAM::SET_CAM_PARAMS, 241
NETWORK::NET_TO_VEH, 240
STATS::_0x01F4D242765C6B24, 240
AUDIO::GET_SOUND_ID, 239
NETWORK::NETWORK_REQUEST_CONTROL_OF_NETWORK_ID, 239
GRAPHICS::DOES_PARTICLE_FX_LOOPED_EXIST, 238
MAP::SET_BLIP_SPRITE, 238
PED::_GET_LASSO_TARGET, 237
ITEMDATABASE::_0x4308812A6E9CA62E, 236
NETWORK::NETWORK_HANDLE_FROM_PLAYER, 236
PED::IS_PED_FLEEING, 236
CAM::IS_SCREEN_FADED_IN, 235
POPULATION::_0xA1CFB35069D23C23, 235
INVENTORY::_0x640F890C3E5A3FFD, 234
WEAPON::_GET_WEAPON_UNLOCK, 234
NETSHOPPING::_CASHINVENTORY_IS_SESSION_READY, 233
BUILTIN::POW, 231
MONEY::_NETWORK_IS_MONEY_BALANCE_NOT_LESS_THAN, 231
PLAYER::_GET_VEHICLE_OWNED_BY_PLAYER, 231
ATTRIBUTE::_0xD962F8579D702DB5, 230
AUDIO::REGISTER_SCRIPT_WITH_AUDIO, 230
NETWORK::NETWORK_GET_SCRIPT_STATUS, 230
UNK_0x1BF3433758178133, 230
INVENTORY::_0x7C7E4AB748EA3B07, 229
MISC::_0x8F4F050054005C27, 229
INVENTORY::_0x82FA24C3D3FCD9B7, 228
AUDIO::_0xE368E8422C860BA7, 227
ITEMDATABASE::_0x8870895BA5ED9385, 227
NETSHOPPING::_CASHINVENTORY_TRANSACTION_CHECKOUT, 226
ENTITY::GET_ENTITY_HEADING, 225
STREAMING::REQUEST_COLLISION_AT_COORD, 225
PED::_GET_FIRST_ENTITY_PED_IS_CARRYING, 224
UIFEED::_SHOW_ADVANCED_NOTIFICATION, 224
ITEMDATABASE::_0x99C6EA66DFE73757, 223
ITEMDATABASE::_0xF4452CE83118C738, 223
PLAYER::IS_PLAYER_CONTROL_ON, 223
HUD::_UIPROMPT_DELETE, 221
INVENTORY::_0x22E590F108289A9D, 221
ITEMDATABASE::_ITEM_DATABASE_FILLOUT_ACQUIRE_COST, 221
PLAYER::_0x592F58BC4D2A2CF3, 221
PED::_GET_PED_COMPONENT_CATEGORY, 220
POPULATION::_0x18262CAFEBB5FBE1, 220
POSSE::_0xC08AFF658B2E51DA, 220
ITEMDATABASE::_0xAA29A5F13B2C20B2, 219
